id,segment,RID,delivery type,class,sub-class,no of items,location,departure city,departure state,address code,placement date,delivery date,price,discount,profit
1,Consumer,7981,Standard Class,kariox,phone,2,Central,Houston,Texas,77095,01-01-2018,01-01-2018,16.448,0.2,5.5512
2,Consumer,6334,Standard Class,kariox,headset,5,Central,Westland,Michigan,48185,01-01-2018,01-01-2018,29.7,0,13.365
3,Consumer,6333,Standard Class,qexty,shorts,3,Central,Westland,Michigan,48185,01-01-2018,01-01-2018,14.73,0,4.8609
4,Consumer,6332,Standard Class,kariox,television,3,Central,Westland,Michigan,48185,01-01-2018,01-01-2018,43.92,0,12.7368
5,Consumer,6331,Standard Class,kariox,laptop,2,Central,Westland,Michigan,48185,01-01-2018,01-01-2018,66.58,0,15.9792
6,Consumer,6330,Standard Class,kariox,battery,4,Central,Westland,Michigan,48185,01-01-2018,01-01-2018,247.716,0.1,93.5816
7,Consumer,6329,Standard Class,kariox,headset,5,Central,Westland,Michigan,48185,01-01-2018,01-01-2018,19.05,0,8.9535
8,Consumer,6328,Standard Class,qexty,shorts,3,Central,Westland,Michigan,48185,01-01-2018,01-01-2018,272.94,0,30.0234
9,Corporate,7121,Standard Class,kariox,headset,1,South,Smyrna,Tennessee,37167,01-01-2018,01-01-2018,67.194,0.7,-51.5154
10,Consumer,6327,Standard Class,kariox,laptop,1,Central,Westland,Michigan,48185,01-01-2018,01-01-2018,13.98,0,4.0542
11,Consumer,1127,Standard Class,qexty,tshirts,3,South,Jonesboro,Arkansas,72401,01-01-2018,01-01-2018,1067.94,0,224.2674
12,Consumer,1126,Standard Class,kariox,watch,3,South,Jonesboro,Arkansas,72401,01-01-2018,01-01-2018,23.34,0,10.9698
13,Consumer,1125,Standard Class,kariox,television,3,South,Jonesboro,Arkansas,72401,01-01-2018,01-01-2018,6.63,0,1.7901
14,Consumer,1124,Standard Class,qexty,shorts,4,South,Jonesboro,Arkansas,72401,01-01-2018,01-01-2018,38.6,0,11.58
15,Consumer,1123,Standard Class,kariox,television,7,South,Jonesboro,Arkansas,72401,01-01-2018,01-01-2018,22.96,0,6.6584
16,Consumer,1122,Standard Class,fynota,colddrinks,7,South,Jonesboro,Arkansas,72401,01-01-2018,01-01-2018,699.93,0,181.9818
17,Consumer,5466,First Class,qexty,pants,5,West,Scottsdale,Arizona,85254,01-01-2018,01-01-2018,181.47,0.7,-320.597
18,Consumer,5737,Standard Class,kariox,phone,2,West,Los Angeles,California,90049,01-01-2018,01-01-2018,19.36,0,9.2928
19,Consumer,5465,First Class,kariox,watch,5,West,Scottsdale,Arizona,85254,01-01-2018,01-01-2018,108.72,0.2,36.693
20,Consumer,9990,Second Class,qexty,shorts,3,South,Miami,Florida,33180,01-01-2018,01-01-2018,25.248,0.2,4.1028
21,Consumer,9887,Standard Class,kariox,lighting,3,Central,Lafayette,Indiana,47905,01-01-2018,01-01-2018,5.94,0,0
22,Consumer,3366,First Class,qexty,pants,2,West,Mission Viejo,California,92691,01-01-2018,01-02-2018,290.666,0.15,3.4196
23,Consumer,6389,Standard Class,kariox,laptop,2,Central,Detroit,Michigan,48234,01-01-2018,01-02-2018,229.94,0,6.8982
24,Consumer,6388,Standard Class,kariox,phone,2,Central,Detroit,Michigan,48234,01-01-2018,01-02-2018,10.56,0,4.752
25,Consumer,3084,Standard Class,kariox,headset,1,East,New York City,New York,10024,01-01-2018,01-02-2018,3.928,0.2,1.3257
26,Consumer,3797,Standard Class,kariox,television,4,West,San Diego,California,92037,01-01-2018,01-02-2018,36.44,0,12.0252
27,Consumer,3796,Standard Class,qexty,hoodies,3,West,San Diego,California,92037,01-01-2018,01-02-2018,333,0.2,-16.65
28,Consumer,3795,Standard Class,kariox,laptop,1,West,San Diego,California,92037,01-01-2018,01-02-2018,57.23,0,14.3075
29,Consumer,9156,Standard Class,kariox,phone,6,West,Las Vegas,Nevada,89115,01-01-2018,01-01-2018,40.08,0,19.2384
30,Corporate,8151,First Class,qexty,pants,2,Central,Rapid City,South Dakota,57701,01-01-2018,01-01-2018,141.96,0,39.7488
31,Home Office,2585,Standard Class,fynota,colddrinks,2,South,Alexandria,Virginia,22304,01-01-2018,01-01-2018,187.98,0,52.6344
32,Home Office,2584,Standard Class,qexty,shorts,3,South,Alexandria,Virginia,22304,01-01-2018,01-01-2018,12.42,0,4.4712
